index,ellipse_angle_deg,ellipse_angle_derivative,motor_speed
288,41.32,0.45000000000000284,1.0
539,43.47,0.35999999999999943,1.0
558,42.16,0.19999999999999574,1.0
861,41.71,0.21999999999999886,1.0
1103,38.06,0.1600000000000037,1.0
1323,40.82,0.4399999999999977,1.0
1542,45.7,0.8200000000000003,1.0
1560,45.18,0.6499999999999986,1.0
1790,42.11,0.4399999999999977,1.0
2027,41.7,1.3500000000000014,1.0
2709,44.34,0.010000000000005116,1.0
2904,40.16,0.4199999999999946,1.0
3156,39.7,0.7000000000000028,1.0
3316,40.66,0.8799999999999955,1.0
3352,40.73,0.02999999999999403,1.0
3371,40.09,0.490000000000002,1.0
3689,44.8,0.4099999999999966,1.0
4061,43.42,0.010000000000005116,1.0
4292,39.47,0.25,1.0
4495,39.07,0.3500000000000014,1.0
4753,38.41,0.11999999999999744,1.0
4979,40.88,0.3300000000000054,1.0
5207,38.56,0.4299999999999997,1.0
5510,41.16,0.4399999999999977,1.0
5810,38.86,0.3999999999999986,1.0
6041,39.12,1.519999999999996,5.0
6133,32.93,0.5799999999999983,5.0
6188,36.41,1.25,5.0
6266,37.23,2.779999999999994,5.0
6368,36.53,0.21000000000000085,5.0
6395,35.16,0.45999999999999375,5.0
6424,35.44,0.5899999999999963,5.0
6487,37.66,0.6499999999999986,5.0
6619,33.01,1.1999999999999993,5.0
6658,33.01,1.6599999999999966,5.0
6740,34.37,0.4899999999999949,5.0
6826,36.19,1.2999999999999972,5.0
6865,29.94,0.41000000000000014,5.0
6940,33.44,1.8299999999999983,5.0
6989,30.79,2.8999999999999986,5.0
7028,30.29,1.009999999999998,5.0
7105,33.86,1.4600000000000009,5.0
7132,28.5,0.21999999999999886,5.0
7171,28.64,0.46999999999999886,5.0
7236,33.52,2.8100000000000023,5.0
7284,34.89,0.6099999999999994,5.0
7366,34.84,0.05000000000000426,5.0
7404,34.57,1.7199999999999989,5.0
7450,35.39,1.7899999999999991,5.0
7526,39.63,1.490000000000002,5.0
7591,35.45,0.22000000000000597,5.0
7629,34.92,0.2600000000000051,5.0
7768,34.19,0.35999999999999943,5.0
7798,34.12,2.009999999999998,5.0
7819,33.77,1.220000000000006,5.0
7914,31.52,0.8499999999999979,5.0
7963,33.0,1.0300000000000011,5.0
7993,32.01,1.389999999999997,5.0
8050,31.7,1.8299999999999983,5.0
8086,29.05,0.9800000000000004,5.0
8143,28.84,0.0799999999999983,5.0
8232,34.73,0.38999999999999346,5.0
8260,30.52,1.2300000000000004,5.0
8292,31.15,1.4899999999999984,5.0
8386,32.56,1.1700000000000017,5.0
8481,32.84,1.240000000000002,5.0
8527,34.25,0.9600000000000009,5.0
8632,34.94,1.4799999999999969,5.0
8710,33.64,2.2300000000000004,5.0
8757,35.46,1.7700000000000031,5.0
8899,32.38,1.3300000000000018,5.0
8928,31.0,0.8200000000000003,5.0
8947,30.12,0.4400000000000013,5.0
8985,31.14,2.4499999999999993,5.0
9022,29.84,1.5100000000000016,5.0
9088,30.28,0.5100000000000016,5.0
9177,34.59,1.5,5.0
9283,32.37,0.5899999999999963,5.0
9361,28.77,0.00999999999999801,5.0
9483,29.83,0.6799999999999997,5.0
9541,30.72,0.41999999999999815,5.0
9570,28.89,0.490000000000002,5.0
9654,31.48,0.990000000000002,5.0
9672,32.15,2.289999999999999,5.0
9699,32.01,1.5899999999999963,5.0
9747,30.39,1.0399999999999991,5.0
9775,30.05,1.879999999999999,5.0
9850,35.81,1.7199999999999989,5.0
9877,35.18,0.7999999999999972,5.0
9933,33.5,0.46999999999999886,5.0
9961,35.56,1.6600000000000037,5.0
10015,34.7,1.75,5.0
10051,35.69,2.469999999999999,5.0
10108,33.31,0.37000000000000455,5.0
10126,32.29,0.14999999999999858,5.0
