index,ellipse_angle_deg,ellipse_angle_derivative
17006,37.5,-1.0600000000000025
17063,37.9,-4.609999999999999
17138,36.83,-2.3999999999999986
17167,35.97,-1.3500000000000014
17202,35.83,-2.0700000000000003
17219,33.45,-2.8200000000000003
17285,35.82,-2.780000000000001
17303,34.22,-2.5
17369,35.5,-2.539999999999999
17428,35.1,-2.460000000000001
17504,31.62,-3.4800000000000004
17552,36.87,-2.010000000000005
17628,37.7,-1.1999999999999955
17711,35.93,-2.450000000000003
17759,36.62,-2.780000000000001
17807,33.6,-5.949999999999996
17863,34.81,-1.9099999999999968
17882,32.56,-2.5
17939,34.88,-3.0
18014,34.66,-1.7900000000000065
18034,33.26,-4.359999999999999
18083,33.17,-4.549999999999997
18146,39.74,-4.640000000000001
18194,41.18,-1.6099999999999994
18223,39.63,-4.329999999999998
18251,38.93,-2.68
18290,37.58,-1.980000000000004
18308,39.4,-1.5
18458,36.63,-6.049999999999997
18518,38.22,-1.2800000000000011
18536,37.75,-2.1499999999999986
18583,39.2,-2.009999999999998
18640,38.03,-5.039999999999999
18677,39.23,-1.0800000000000054
18715,39.77,-2.68
18734,35.25,-5.259999999999998
18847,36.18,-1.4200000000000017
18865,35.48,-2.8500000000000014
18933,36.75,-4.390000000000001
19075,35.39,-6.399999999999999
19150,37.4,-2.259999999999998
19389,38.17,-2.890000000000001
19426,41.3,-2.8200000000000003
19464,41.73,-1.5100000000000051
19492,37.3,-1.2800000000000011
19519,37.84,-5.439999999999998
19546,35.14,-2.1000000000000014
19576,39.84,-1.2299999999999969
19729,35.56,-1.8099999999999952
19747,33.75,-4.229999999999997
19795,38.66,-6.470000000000006
19843,40.25,-2.210000000000001
19870,37.38,-5.82
19908,38.68,-1.3299999999999983
20056,37.98,-1.8700000000000043
20085,35.81,-3.549999999999997
20187,38.44,-3.0800000000000054
20224,41.36,-1.4299999999999995
20302,40.2,-2.5
20368,37.54,-4.439999999999998
20443,37.23,-1.0400000000000065
20461,37.49,-2.6299999999999955
20481,34.3,-4.830000000000005
20518,38.82,-2.799999999999997
20536,34.59,-4.459999999999994
20593,38.48,-3.480000000000004
20630,42.98,-1.9600000000000009
20659,39.12,-2.890000000000001
20716,39.71,-1.4200000000000017
20800,38.21,-2.8100000000000023
20836,38.16,-2.1300000000000026
20902,37.46,-4.490000000000002
20986,37.57,-6.289999999999999
21042,41.2,-2.6099999999999994
21088,40.75,-1.3400000000000034
21118,37.72,-3.759999999999998
21186,38.89,-1.7299999999999969
21214,36.38,-1.279999999999994
21234,35.54,-2.469999999999999
21280,34.91,-4.090000000000003
21376,37.8,-4.280000000000001
21453,42.5,-1.2800000000000011
21499,40.65,-2.759999999999998
21527,38.69,-1.3200000000000005
21546,36.78,-2.68
21601,39.47,-1.4200000000000017
21631,38.07,-1.990000000000002
21687,38.52,-2.469999999999999
21724,36.78,-1.2100000000000009
21835,40.75,-3.030000000000001
21922,39.83,-1.1700000000000017
21952,38.88,-2.5700000000000003
22048,37.21,-1.4499999999999955
22068,39.27,-2.3499999999999943
22105,37.33,-2.490000000000002
22255,42.64,-3.5700000000000003
22333,37.28,-5.009999999999998
22372,39.86,-5.07
22420,35.25,-2.4099999999999966
22507,38.56,-3.219999999999999
22534,34.64,-2.5
22564,40.31,-1.3999999999999986
22603,37.36,-3.740000000000002
22642,44.7,-1.7099999999999935
22689,40.26,-2.760000000000005
22784,37.08,-2.0900000000000034
22812,40.8,-3.1500000000000057
22920,35.67,-2.469999999999999
22949,37.02,-3.3399999999999963
22997,39.18,-2.460000000000001
23052,43.72,-1.8000000000000045
23198,37.53,-1.9799999999999969
23217,33.96,-6.490000000000002
23304,39.26,-2.8500000000000014
23331,39.3,-4.060000000000002
23378,37.38,-1.0999999999999943
23406,41.16,-2.3300000000000054
23454,39.87,-6.75
23502,39.24,-2.969999999999999
23538,40.72,-2.8100000000000023
23618,37.73,-1.730000000000004
23637,39.34,-2.2099999999999937
23657,38.64,-1.0899999999999963
23685,39.52,-1.4299999999999995
23706,39.96,-1.9699999999999989
23763,37.97,-2.640000000000001
23793,36.06,-2.799999999999997
23850,45.0,-1.1400000000000006
23889,39.33,-1.1300000000000026
23928,41.12,-2.6200000000000045
23985,37.96,-2.019999999999996
24042,37.93,-1.7700000000000031
24060,42.67,-1.0599999999999952
24096,39.72,-1.2700000000000031
24126,40.33,-3.61
24155,38.91,-3.640000000000001
24213,43.29,-1.8699999999999972
24249,42.12,-3.470000000000006
24269,42.79,-1.6400000000000006
24327,42.6,-3.469999999999999
24347,37.96,-5.100000000000001
24386,41.63,-3.039999999999999
24405,39.75,-2.6099999999999994
24444,41.74,-3.6699999999999946
24464,39.64,-3.9399999999999977
24501,42.2,-2.229999999999997
24519,40.98,-1.6500000000000057
24567,42.8,-3.1700000000000017
24586,39.59,-5.259999999999998
24743,43.26,-1.5100000000000051
24762,42.54,-2.6700000000000017
24810,43.39,-1.6899999999999975
24839,40.79,-4.210000000000001
24915,39.57,-3.369999999999997
24935,38.6,-2.119999999999997
24953,36.38,-5.079999999999998
25010,39.62,-7.350000000000001
25049,39.87,-7.420000000000002
25145,44.2,-1.4899999999999949
25164,40.74,-4.329999999999998
25182,38.3,-2.9200000000000017
25221,42.53,-2.9200000000000017
25278,41.64,-2.8500000000000014
25296,41.19,-1.230000000000004
25328,41.8,-2.270000000000003
25385,40.8,-4.8700000000000045
25442,44.94,-2.719999999999999
25481,44.34,-1.5499999999999972
25520,42.84,-2.9599999999999937
25541,41.93,-1.3299999999999983
25571,42.74,-1.4499999999999955
25637,41.35,-3.18
25674,40.43,-3.1899999999999977
25701,41.22,-1.4200000000000017
25721,45.27,-1.0599999999999952
25739,45.96,-1.1799999999999995
25767,41.66,-2.270000000000003
25865,42.79,-2.140000000000001
25960,39.14,-2.43
26037,47.21,-1.6099999999999994
26066,41.38,-1.7199999999999989
26085,42.76,-3.75
26133,43.45,-2.259999999999998
26172,41.29,-1.259999999999998
26219,43.0,-1.5200000000000031
26285,41.78,-4.859999999999999
26313,43.39,-1.240000000000002
26343,45.0,-3.61
26391,43.09,-1.0699999999999932
26442,41.3,-4.080000000000005
26522,43.5,-4.600000000000001
26573,41.01,-3.020000000000003
26592,42.68,-1.4600000000000009
26753,39.98,-5.450000000000003
26879,41.24,-6.030000000000001
26957,45.56,-2.0999999999999943
27014,41.59,-3.229999999999997
27062,39.11,-1.6799999999999995
27089,44.6,-4.170000000000002
27110,42.77,-3.299999999999997
27178,42.49,-1.5
27236,45.07,-2.789999999999999
27272,40.64,-5.079999999999998
27322,44.74,-1.509999999999998
27341,44.32,-1.3500000000000014
27437,41.59,-1.5999999999999943
27476,42.53,-3.460000000000001
27496,42.26,-4.800000000000004
27533,47.02,-2.019999999999996
27572,43.23,-3.4200000000000017
27593,40.84,-3.539999999999999
27631,42.07,-2.640000000000001
27650,40.74,-1.4199999999999946
27679,39.59,-1.3999999999999986
27716,47.46,-3.460000000000001
27803,42.38,-3.059999999999995
27878,45.12,-2.8500000000000014
27937,42.51,-3.4200000000000017
28024,44.92,-1.6899999999999975
28073,44.66,-3.140000000000001
28121,43.38,-3.61
28159,44.09,-2.1899999999999977
28177,46.04,-1.8599999999999997
28256,40.67,-4.719999999999999
28295,45.57,-1.8699999999999972
28316,44.24,-2.390000000000001
28343,43.92,-4.269999999999996
28412,41.2,-3.559999999999995
28472,47.46,-4.869999999999997
28519,40.59,-7.319999999999993
28556,41.82,-1.2199999999999989
