index,ellipse_angle_deg,ellipse_angle_derivative
8251,29.29,-3.3999999999999986
8271,29.43,-1.0899999999999999
8320,27.94,-2.1199999999999974
8395,30.59,-1.9700000000000024
8406,27.87,-2.719999999999999
8425,26.14,-1.120000000000001
8490,31.46,-1.3800000000000026
8536,31.15,-3.1000000000000014
8662,28.51,-5.649999999999995
8719,32.33,-1.3100000000000023
8776,32.95,-1.5499999999999972
8794,29.35,-3.4200000000000017
8917,30.18,-1.7899999999999991
8938,29.68,-1.3200000000000003
8956,26.78,-3.34
9004,29.46,-1.1199999999999974
9013,28.33,-1.1300000000000026
9031,27.47,-2.370000000000001
9097,28.11,-2.1700000000000017
9187,31.74,-2.850000000000005
9196,28.83,-2.91
9301,27.73,-3.9499999999999993
9313,25.74,-1.990000000000002
9322,24.51,-1.2299999999999969
9388,25.05,-2.5500000000000007
9492,28.27,-1.5599999999999987
9550,28.21,-2.509999999999998
9580,27.81,-1.0800000000000018
9589,26.61,-1.1999999999999993
9661,29.86,-1.620000000000001
9681,30.93,-1.2199999999999989
9720,28.68,-2.719999999999999
9757,28.5,-1.8900000000000006
9784,28.56,-1.490000000000002
9859,34.4,-1.4100000000000037
9886,33.82,-1.3599999999999994
9942,32.41,-1.0900000000000034
9970,32.68,-2.8800000000000026
9979,30.93,-1.75
9988,29.45,-1.4800000000000004
10024,33.07,-1.6300000000000026
10060,33.42,-2.269999999999996
10117,32.14,-1.1700000000000017
10135,31.18,-1.1099999999999994
10144,28.77,-2.41
10180,29.33,-1.3900000000000006
10219,29.15,-2.5700000000000003
10248,29.35,-1.9599999999999973
10257,27.05,-2.3000000000000007
10330,29.45,-2.150000000000002
10339,26.31,-3.1400000000000006
10387,28.36,-1.1099999999999994
10426,28.14,-1.5399999999999991
10435,26.76,-1.379999999999999
10491,29.62,-2.8000000000000007
10500,27.19,-2.4299999999999997
10557,29.54,-3.6099999999999994
10594,27.76,-1.629999999999999
10605,26.19,-1.5700000000000003
10669,29.78,-1.25
10678,28.67,-1.1099999999999994
10687,27.47,-1.2000000000000028
10755,26.65,-1.7100000000000009
10785,27.13,-1.5600000000000023
10906,27.63,-3.4400000000000013
10935,29.46,-1.8900000000000006
10963,28.39,-1.7100000000000009
11010,32.29,-1.8000000000000043
11056,32.34,-1.9099999999999966
11094,32.42,-2.559999999999995
11104,30.83,-1.5900000000000034
11115,29.26,-1.5699999999999967
11124,27.49,-1.7700000000000031
11199,31.99,-1.2100000000000044
11226,32.2,-1.3599999999999994
11237,28.26,-3.9400000000000013
11382,31.19,-1.7899999999999956
11409,30.78,-1.6099999999999994
11418,29.65,-1.1300000000000026
11457,29.47,-1.7200000000000024
11486,28.64,-1.8200000000000003
11505,25.86,-3.629999999999999
11582,29.12,-1.0299999999999976
11676,31.03,-2.240000000000002
11685,27.05,-3.9800000000000004
11705,25.24,-1.0100000000000016
11798,30.78,-1.1600000000000001
11826,26.42,-3.599999999999998
11952,29.52,-4.139999999999997
11961,26.64,-2.879999999999999
12045,28.97,-3.8599999999999994
12102,31.99,-4.860000000000003
12120,29.85,-1.5899999999999999
12195,31.61,-3.6700000000000017
12243,36.54,-5.079999999999998
12263,36.65,-1.0500000000000043
12281,36.96,-1.0499999999999972
12300,36.04,-2.0
12320,34.69,-3.9200000000000017
12329,32.3,-2.3900000000000006
12368,31.25,-1.8999999999999986
12425,33.02,-1.2199999999999989
12471,33.66,-2.0500000000000043
12491,31.54,-1.1799999999999997
12500,28.15,-3.3900000000000006
12528,31.49,-1.0199999999999996
12546,30.85,-1.1899999999999977
12603,33.66,-1.4300000000000068
12621,30.68,-2.289999999999999
12641,30.86,-1.1600000000000037
12687,30.12,-2.7899999999999956
12705,29.72,-1.7300000000000004
12771,33.69,-2.770000000000003
12861,33.12,-1.9200000000000017
12897,32.92,-4.299999999999997
12906,31.45,-1.4700000000000024
12953,32.44,-1.1600000000000037
12972,31.23,-3.4899999999999984
13008,32.12,-2.240000000000002
13074,33.14,-1.5
13092,32.13,-1.2399999999999949
13103,30.92,-1.2100000000000009
13131,33.26,-1.480000000000004
13140,30.03,-3.229999999999997
13196,30.37,-1.9800000000000004
13233,31.65,-1.7000000000000028
13242,30.12,-1.5299999999999976
13401,32.1,-2.789999999999999
13439,34.4,-2.740000000000002
13448,33.36,-1.0399999999999991
13514,33.77,-5.089999999999996
13523,31.43,-2.3400000000000034
13532,29.22,-2.210000000000001
13560,32.37,-1.8500000000000014
13596,34.36,-2.9299999999999997
13605,31.33,-3.030000000000001
13614,29.81,-1.5199999999999996
13632,28.3,-3.289999999999999
13698,30.58,-3.3200000000000003
13755,28.13,-5.349999999999998
13821,30.39,-3.3999999999999986
13857,29.54,-2.6700000000000017
13877,29.15,-2.490000000000002
13950,31.8,-1.4400000000000013
13979,34.09,-1.3599999999999994
13997,31.19,-2.370000000000001
14070,41.44,-3.1099999999999994
14079,37.86,-3.5799999999999983
14109,35.59,-3.789999999999999
14129,34.47,-1.8299999999999983
14166,39.21,-1.2100000000000009
14177,34.88,-4.329999999999998
14204,34.27,-2.3799999999999955
14213,33.12,-1.1500000000000057
14268,36.25,-2.6899999999999977
14298,33.83,-1.3400000000000034
14334,35.72,-1.509999999999998
14354,32.82,-3.3999999999999986
14363,31.38,-1.4400000000000013
14399,36.04,-1.2700000000000031
14409,33.22,-2.8200000000000003
14436,33.74,-1.3500000000000014
14466,31.53,-4.189999999999998
14559,32.96,-4.100000000000001
14613,38.93,-1.6499999999999986
14651,36.08,-4.149999999999999
14688,37.99,-1.4499999999999957
14726,37.6,-2.019999999999996
14744,34.87,-1.980000000000004
14798,33.28,-4.949999999999996
14835,36.72,-2.950000000000003
14844,32.59,-4.1299999999999955
14901,35.8,-3.460000000000001
14910,34.37,-1.4299999999999997
14928,32.67,-1.8299999999999983
14986,37.35,-1.1000000000000014
14998,33.12,-4.230000000000004
15026,32.49,-2.1000000000000014
15062,31.7,-3.2699999999999996
15080,30.21,-1.6099999999999994
15127,36.54,-1.6600000000000037
15146,33.69,-2.6799999999999997
15202,37.39,-2.200000000000003
15211,35.01,-2.3800000000000026
15296,35.47,-3.450000000000003
15344,38.45,-1.5399999999999991
15353,32.19,-6.260000000000005
15401,33.62,-4.470000000000006
15482,37.57,-2.960000000000001
15493,35.77,-1.7999999999999972
15502,34.43,-1.3400000000000034
15512,31.56,-2.870000000000001
15587,36.99,-1.6099999999999994
15596,35.96,-1.0300000000000011
15632,34.84,-2.509999999999998
15661,32.41,-2.1400000000000006
15716,34.06,-3.3599999999999994
15743,32.71,-3.049999999999997
15800,41.48,-1.8800000000000026
15809,39.35,-2.1299999999999955
15818,38.24,-1.1099999999999994
15838,37.5,-1.0700000000000003
15866,38.08,-2.200000000000003
15884,39.07,-1.740000000000002
15904,36.09,-2.1499999999999986
15922,36.51,-1.5900000000000034
15959,37.72,-1.6700000000000017
15986,37.12,-4.6200000000000045
16006,32.85,-3.4099999999999966
16024,30.62,-1.3499999999999979
16072,35.27,-3.6999999999999957
16080,33.07,-2.200000000000003
16091,31.55,-1.5199999999999996
16147,33.15,-1.2800000000000011
16165,31.4,-2.3999999999999986
16202,35.24,-1.3099999999999952
16267,34.52,-1.8799999999999955
16276,32.46,-2.0600000000000023
16315,33.45,-4.349999999999994
16390,35.16,-4.630000000000003
16399,33.78,-1.3799999999999955
16427,37.76,-1.1799999999999997
16486,33.88,-8.43
16523,38.04,-1.509999999999998
16550,37.76,-1.9500000000000028
16559,35.15,-2.6099999999999994
16588,31.53,-3.75
16616,32.73,-2.460000000000001
16661,36.32,-1.009999999999998
16671,32.97,-3.3500000000000014
16709,34.6,-2.509999999999998
16738,32.03,-3.259999999999998
16766,31.44,-2.0299999999999976
16804,31.51,-4.580000000000002
16850,35.38,-1.4099999999999966
16868,32.79,-2.270000000000003
16886,31.81,-1.0400000000000027
16904,32.35,-2.039999999999999
16942,36.65,-2.0500000000000043
16970,36.19,-1.8700000000000045
16979,34.88,-1.3099999999999952
17006,37.5,-1.0600000000000023
17015,32.73,-4.770000000000003
17063,37.9,-4.609999999999999
17081,35.83,-1.6700000000000017
17138,36.83,-2.3999999999999986
17167,35.97,-1.3500000000000014
17176,34.6,-1.3699999999999974
17202,35.83,-2.0700000000000003
17219,33.45,-2.8200000000000003
17285,35.82,-2.780000000000001
17303,34.22,-2.5
17330,30.74,-2.820000000000004
17369,35.5,-2.539999999999999
17380,32.93,-2.5700000000000003
17390,30.95,-1.9800000000000004
17428,35.1,-2.460000000000001
17477,32.05,-1.980000000000004
17504,31.62,-3.4800000000000004
17552,36.87,-2.010000000000005
17561,35.28,-1.5899999999999963
17628,37.7,-1.1999999999999957
17693,38.07,-2.3299999999999983
17711,35.93,-2.450000000000003
17759,36.62,-2.780000000000001
17807,33.6,-5.949999999999996
17816,31.34,-2.2600000000000016
17863,34.81,-1.9099999999999966
17882,32.56,-2.5
17939,34.88,-3.0
17948,30.84,-4.040000000000003
