index,ellipse_angle_deg,ellipse_angle_derivative
693,32.28,0.5899999999999999
702,32.83,0.5499999999999972
713,33.38,0.5500000000000043
723,34.06,0.6799999999999997
732,34.55,0.4899999999999949
741,35.16,0.6099999999999994
750,35.69,0.5300000000000011
759,36.12,0.4299999999999997
770,36.69,0.5700000000000003
779,37.4,0.7100000000000009
789,37.91,0.509999999999998
798,38.49,0.5800000000000054
809,39.15,0.6599999999999966
819,39.68,0.5300000000000011
831,40.29,0.6099999999999994
840,41.01,0.7199999999999989
852,41.49,0.480000000000004
861,41.71,0.21999999999999886
870,39.81,-1.8999999999999986
879,34.86,-4.950000000000003
890,30.4,-4.460000000000001
900,30.13,-0.2699999999999996
909,27.29,-2.84
918,27.19,-0.09999999999999787
929,28.72,1.5299999999999976
938,29.14,0.4200000000000017
948,29.55,0.41000000000000014
957,30.25,0.6999999999999993
966,30.75,0.5
975,31.31,0.5599999999999987
984,31.81,0.5
993,32.47,0.6600000000000001
1002,32.79,0.3200000000000003
1013,33.41,0.6199999999999974
1023,34.1,0.6900000000000048
1032,34.63,0.5300000000000011
1043,35.2,0.5700000000000003
1052,35.94,0.7399999999999949
1061,36.28,0.3400000000000034
1073,36.85,0.5700000000000003
1082,37.59,0.740000000000002
1092,37.9,0.30999999999999517
1103,38.06,0.1600000000000037
1113,36.73,-1.3300000000000054
1122,33.98,-2.75
1131,32.99,-0.9899999999999949
1143,32.24,-0.75
1152,31.16,-1.0800000000000018
1161,31.33,0.16999999999999815
1170,32.35,1.0200000000000031
1181,32.56,0.21000000000000085
1190,33.01,0.44999999999999574
1200,33.67,0.6600000000000037
1209,34.3,0.6299999999999955
1218,34.78,0.480000000000004
1227,35.41,0.6299999999999955
1238,35.95,0.5400000000000063
1247,36.46,0.509999999999998
1257,37.01,0.5499999999999972
1266,37.72,0.7100000000000009
1275,38.21,0.490000000000002
1284,38.77,0.5600000000000023
1295,39.41,0.6399999999999935
1304,39.84,0.4300000000000068
1314,40.38,0.5399999999999991
1323,40.82,0.4399999999999977
1332,39.14,-1.6799999999999997
1341,36.6,-2.539999999999999
1350,36.23,-0.37000000000000455
1361,36.75,0.5200000000000031
1371,36.38,-0.36999999999999744
1380,36.36,-0.020000000000003126
1389,36.53,0.1700000000000017
1398,36.46,-0.07000000000000028
1407,37.39,0.9299999999999997
1416,38.0,0.6099999999999994
1427,38.47,0.46999999999999886
1437,39.05,0.5799999999999983
1446,39.74,0.6900000000000048
1455,40.25,0.509999999999998
1464,40.84,0.5900000000000034
1475,41.42,0.5799999999999983
1485,41.88,0.46000000000000085
1494,42.57,0.6899999999999977
1505,43.21,0.6400000000000006
1514,43.67,0.46000000000000085
1524,44.25,0.5799999999999983
1533,44.88,0.6300000000000026
1542,45.7,0.8200000000000003
1551,44.53,-1.1700000000000017
1560,45.18,0.6499999999999986
1569,45.0,-0.17999999999999972
1581,44.23,-0.7700000000000031
1590,37.53,-6.699999999999996
1599,35.13,-2.3999999999999986
1609,33.78,-1.3500000000000014
1619,32.88,-0.8999999999999986
1628,32.77,-0.10999999999999943
1638,33.24,0.46999999999999886
1647,33.8,0.5599999999999952
1658,34.41,0.6099999999999994
1667,34.93,0.5200000000000031
1676,35.44,0.509999999999998
1684,36.09,0.6500000000000057
1694,36.61,0.519999999999996
1703,37.03,0.4200000000000017
1713,37.75,0.7199999999999989
1722,38.28,0.5300000000000011
1733,38.72,0.4399999999999977
1742,39.48,0.759999999999998
1752,39.95,0.47000000000000597
1761,40.57,0.6199999999999974
1770,41.15,0.5799999999999983
1779,41.67,0.5200000000000031
1790,42.11,0.4399999999999977
1799,40.56,-1.5499999999999972
1809,39.28,-1.2800000000000011
1818,36.26,-3.020000000000003
1827,33.84,-2.4199999999999946
1838,32.94,-0.9000000000000057
1847,31.3,-1.639999999999997
1856,31.79,0.48999999999999844
1866,32.39,0.6000000000000014
1875,31.48,-0.9100000000000001
1886,33.57,2.09
1895,34.18,0.6099999999999994
1905,34.68,0.5
1914,35.2,0.5200000000000031
1925,35.87,0.6699999999999946
1934,36.45,0.5800000000000054
1944,36.92,0.46999999999999886
1953,37.64,0.7199999999999989
1962,38.07,0.4299999999999997
1971,38.61,0.5399999999999991
1980,39.17,0.5600000000000023
1989,39.79,0.6199999999999974
1998,40.22,0.4299999999999997
2007,40.91,0.6899999999999977
2018,40.35,-0.5599999999999952
2027,41.7,1.3500000000000014
2037,39.79,-1.9100000000000037
2046,35.73,-4.060000000000002
2055,31.22,-4.509999999999998
2064,28.62,-2.599999999999998
2073,29.91,1.2899999999999991
2082,29.72,-0.19000000000000128
2093,30.04,0.3200000000000003
2102,30.62,0.5800000000000018
2112,31.18,0.5599999999999987
2121,31.83,0.6499999999999986
2132,32.36,0.5300000000000011
2141,33.02,0.6600000000000037
2150,33.46,0.4399999999999977
2159,34.01,0.5499999999999972
2169,34.62,0.6099999999999994
2178,35.11,0.490000000000002
2187,35.7,0.5900000000000034
2196,36.3,0.5999999999999943
2207,36.83,0.5300000000000011
2214,37.27,0.44000000000000483
2225,37.96,0.6899999999999977
2234,38.52,0.5600000000000023
2244,39.05,0.529999999999994
2252,39.65,0.6000000000000014
2262,40.18,0.5300000000000011
2271,40.6,0.4200000000000017
2280,41.15,0.5499999999999972
2289,41.75,0.6000000000000014
2298,42.27,0.5200000000000031
2307,42.79,0.519999999999996
2318,87.81,45.02
2327,83.95,-3.8599999999999994
2337,83.99,0.03999999999999204
2346,80.33,-3.6599999999999966
2355,79.7,-0.6299999999999955
2366,75.82,-3.8800000000000097
2376,76.68,0.8600000000000136
2385,73.35,-3.3300000000000125
2394,75.36,2.010000000000005
2403,75.8,0.4399999999999977
2414,44.8,-31.0
2423,39.92,-4.8799999999999955
2432,35.89,-4.030000000000001
2441,31.01,-4.879999999999999
2451,30.2,-0.8100000000000023
2460,30.24,0.03999999999999915
2469,30.98,0.740000000000002
2480,31.43,0.4499999999999993
2489,32.02,0.5900000000000034
2498,32.67,0.6499999999999986
2507,33.12,0.44999999999999574
2516,33.57,0.45000000000000284
2525,34.21,0.6400000000000006
2534,34.78,0.5700000000000003
2544,35.28,0.5
2552,35.86,0.5799999999999983
2562,36.42,0.5600000000000023
2571,36.82,0.3999999999999986
2580,37.35,0.5300000000000011
2589,38.03,0.6799999999999997
2598,38.53,0.5
2607,38.99,0.46000000000000085
2616,39.66,0.6699999999999946
2625,40.17,0.5100000000000051
2634,40.69,0.519999999999996
2643,41.19,0.5
2652,41.8,0.6099999999999994
2661,42.22,0.4200000000000017
2670,42.93,0.7100000000000009
2679,43.43,0.5
2690,43.97,0.5399999999999991
2699,44.33,0.35999999999999943
2709,44.34,0.010000000000005116
2718,38.01,-6.330000000000005
2727,35.69,-2.3200000000000003
2736,31.79,-3.8999999999999986
2745,30.76,-1.0299999999999976
2756,31.85,1.0899999999999999
2765,32.04,0.18999999999999773
2774,32.73,0.6899999999999977
2783,33.08,0.3500000000000014
2793,33.71,0.6300000000000026
2802,34.29,0.5799999999999983
2811,34.76,0.46999999999999886
2820,35.3,0.5399999999999991
2829,35.93,0.6300000000000026
2838,36.47,0.5399999999999991
2849,36.92,0.45000000000000284
2858,37.56,0.6400000000000006
2867,38.12,0.5599999999999952
2876,38.58,0.46000000000000085
2885,39.1,0.5200000000000031
2895,39.74,0.6400000000000006
2904,40.16,0.4199999999999946
2913,40.06,-0.09999999999999432
2922,38.56,-1.5
2931,37.18,-1.3800000000000026
2940,31.03,-6.149999999999999
2952,28.17,-2.8599999999999994
2961,28.28,0.10999999999999943
2970,28.68,0.3999999999999986
2979,29.34,0.6600000000000001
2988,29.84,0.5
2997,30.36,0.5199999999999996
3008,30.88,0.5199999999999996
3017,31.57,0.6900000000000013
3026,32.01,0.4399999999999977
3035,32.65,0.6400000000000006
3044,33.12,0.46999999999999886
3053,33.62,0.5
3062,34.06,0.44000000000000483
3071,34.76,0.6999999999999957
3080,35.27,0.5100000000000051
3089,35.78,0.509999999999998
3098,36.31,0.5300000000000011
3107,36.85,0.5399999999999991
