index,ellipse_angle_deg,ellipse_angle_derivative,motor_speed
4312,33.06,-4.68,1.0
4505,38.09,-0.9799999999999969,1.0
4514,36.36,-1.730000000000004,1.0
4532,29.12,-0.9800000000000004,1.0
4744,38.29,-0.1600000000000037,1.0
4762,33.88,-4.529999999999994,1.0
4772,29.12,-4.760000000000002,1.0
4988,39.02,-1.8599999999999994,1.0
4997,33.01,-6.010000000000005,1.0
5216,37.95,-0.6099999999999994,1.0
5225,35.86,-2.0900000000000034,1.0
5236,28.78,-7.079999999999998,1.0
5254,26.19,-0.379999999999999,1.0
5519,38.74,-2.4199999999999946,1.0
5528,35.64,-3.1000000000000014,1.0
5537,28.31,-7.330000000000002,1.0
5546,26.86,-1.4499999999999993,1.0
5564,24.57,-0.9199999999999982,1.0
5818,37.35,-1.509999999999998,1.0
5828,31.65,-5.700000000000003,1.0
5837,29.12,-2.5299999999999976,1.0
6050,38.18,-0.9399999999999977,5.0
6059,31.59,-6.59,5.0
6077,28.81,-0.10000000000000142,5.0
6086,24.9,-3.91,5.0
6143,31.19,-1.7399999999999984,5.0
6208,34.04,-0.4399999999999977,5.0
6284,36.22,-0.5399999999999991,5.0
6293,32.13,-4.089999999999996,5.0
6377,36.28,-0.25,5.0
6386,34.7,-1.5799999999999983,5.0
6404,34.13,-1.029999999999994,5.0
6433,31.78,-3.6599999999999966,5.0
6442,30.51,-1.2699999999999996,5.0
6515,77.38,-0.6099999999999994,5.0
6524,34.39,-42.989999999999995,5.0
6601,30.76,-0.8299999999999983,5.0
6629,31.22,-1.7899999999999991,5.0
6638,29.8,-1.4199999999999982,5.0
6667,31.94,-1.0699999999999967,5.0
6685,28.8,-0.5,5.0
6807,34.36,-0.25,5.0
6836,33.32,-2.8699999999999974,5.0
6845,31.22,-2.1000000000000014,5.0
6856,29.53,-1.6899999999999977,5.0
6875,28.33,-1.610000000000003,5.0
6884,26.12,-2.2099999999999973,5.0
6949,31.09,-2.349999999999998,5.0
6959,28.83,-2.2600000000000016,5.0
6998,30.37,-0.41999999999999815,5.0
7046,29.35,-0.8599999999999994,5.0
7055,27.36,-1.990000000000002,5.0
7114,31.32,-2.539999999999999,5.0
7123,28.28,-3.039999999999999,5.0
7161,28.17,-0.879999999999999,5.0
7227,30.71,-0.33999999999999986,5.0
7255,30.71,-0.6699999999999982,5.0
7384,34.06,-0.46999999999999886,5.0
7395,32.85,-1.2100000000000009,5.0
7414,32.9,-1.6700000000000017,5.0
7423,31.58,-1.3200000000000003,5.0
7498,33.91,-0.9200000000000017,5.0
7536,38.14,-1.490000000000002,5.0
7602,35.09,-0.35999999999999943,5.0
7610,32.87,-2.220000000000006,5.0
7638,32.61,-2.3100000000000023,5.0
7702,32.53,-0.6899999999999977,5.0
7777,33.62,-0.5700000000000003,5.0
7788,32.11,-1.509999999999998,5.0
7809,32.55,-1.5700000000000003,5.0
7828,32.15,-1.6200000000000045,5.0
7885,29.74,-0.860000000000003,5.0
7923,30.01,-1.509999999999998,5.0
7983,30.62,-0.4299999999999997,5.0
8040,29.87,-0.17999999999999972,5.0
8059,29.83,-1.870000000000001,5.0
8077,28.07,-0.75,5.0
8115,27.47,-0.5800000000000018,5.0
8152,25.91,-2.9299999999999997,5.0
8241,32.69,-2.039999999999999,5.0
8251,29.29,-3.3999999999999986,5.0
8311,30.06,-0.990000000000002,5.0
8377,31.39,-0.33999999999999986,5.0
8395,30.59,-1.9700000000000024,5.0
8416,27.26,-0.6099999999999994,5.0
8425,26.14,-1.120000000000001,5.0
8490,31.46,-1.3800000000000026,5.0
8652,34.16,-0.7600000000000051,5.0
8698,31.41,-0.7099999999999973,5.0
8766,34.5,-0.9600000000000009,5.0
8785,32.77,-0.17999999999999972,5.0
8908,31.97,-0.4100000000000037,5.0
8917,30.18,-1.7899999999999991,5.0
8938,29.68,-1.3200000000000003,5.0
8994,30.58,-0.5600000000000023,5.0
9004,29.46,-1.1199999999999974,5.0
9013,28.33,-1.1300000000000026,5.0
9079,29.77,-0.5300000000000011,5.0
9097,28.11,-2.1700000000000017,5.0
9187,31.74,-2.850000000000005,5.0
9292,31.68,-0.6899999999999977,5.0
9301,27.73,-3.9499999999999993,5.0
9313,25.74,-1.990000000000002,5.0
9379,27.6,-0.639999999999997,5.0
9463,28.17,-0.25,5.0
9531,30.3,-0.07000000000000028,5.0
9550,28.21,-2.509999999999998,5.0
9580,27.81,-1.0800000000000018,5.0
9607,27.31,-0.9600000000000009,5.0
9661,29.86,-1.620000000000001,5.0
9709,31.4,-0.6099999999999994,5.0
9729,28.45,-0.23000000000000043,5.0
9766,28.17,-0.3299999999999983,5.0
9793,27.96,-0.5999999999999979,5.0
9868,34.38,-0.01999999999999602,5.0
9924,33.03,-0.46000000000000085,5.0
9942,32.41,-1.0900000000000034,5.0
9970,32.68,-2.8800000000000026,5.0
9979,30.93,-1.75,5.0
9988,29.45,-1.4800000000000004,5.0
10042,33.22,-0.7899999999999991,5.0
10098,32.94,-0.03999999999999915,5.0
10117,32.14,-1.1700000000000017,5.0
10135,31.18,-1.1099999999999994,5.0
10171,30.72,-0.08999999999999986,5.0
10189,29.14,-0.18999999999999773,5.0
10219,29.15,-2.5700000000000003,5.0
10248,29.35,-1.9599999999999973,5.0
10266,26.24,-0.8100000000000023,5.0
10330,29.45,-2.150000000000002,5.0
10369,29.4,-0.28000000000000114,5.0
10407,28.63,-0.10999999999999943,5.0
10426,28.14,-1.5399999999999991,5.0
10482,32.42,-0.6499999999999986,5.0
10491,29.62,-2.8000000000000007,5.0
10510,26.75,-0.4400000000000013,5.0
10585,29.39,-0.379999999999999,5.0
10594,27.76,-1.629999999999999,5.0
10660,31.03,-0.11999999999999744,5.0
10669,29.78,-1.25,5.0
10678,28.67,-1.1099999999999994,5.0
10744,28.36,-0.9499999999999993,5.0
10755,26.65,-1.7100000000000009,5.0
10897,31.07,-0.879999999999999,5.0
10906,27.63,-3.4400000000000013,5.0
10935,29.46,-1.8900000000000006,5.0
10963,28.39,-1.7100000000000009,5.0
11047,34.25,-0.4799999999999969,5.0
11065,32.04,-0.30000000000000426,5.0
11094,32.42,-2.559999999999995,5.0
11104,30.83,-1.5900000000000034,5.0
11115,29.26,-1.5699999999999967,5.0
11190,33.2,-0.6199999999999974,5.0
11208,31.08,-0.9100000000000001,5.0
11226,32.2,-1.3599999999999994,5.0
11370,32.98,-0.6600000000000037,5.0
11382,31.19,-1.7899999999999956,5.0
11409,30.78,-1.6099999999999994,5.0
11418,29.65,-1.1300000000000026,5.0
11475,30.46,-0.7699999999999996,5.0
11486,28.64,-1.8200000000000003,5.0
11573,30.15,-0.4200000000000017,5.0
11667,33.27,-0.38999999999999346,5.0
11676,31.03,-2.240000000000002,5.0
11694,26.25,-0.8000000000000007,5.0
11760,31.0,-0.9100000000000001,5.0
11817,30.02,-0.17999999999999972,5.0
11942,33.66,-0.9200000000000017,5.0
11952,29.52,-4.139999999999997,5.0
12035,32.83,-0.240000000000002,10.0
12093,36.85,-0.14999999999999858,10.0
12111,31.44,-0.5499999999999972,10.0
12177,34.79,-0.13000000000000256,10.0
12195,31.61,-3.6700000000000017,10.0
12243,36.54,-5.079999999999998,10.0
12263,36.65,-1.0500000000000043,10.0
12281,36.96,-1.0499999999999972,10.0
12300,36.04,-2.0,10.0
12320,34.69,-3.9200000000000017,10.0
12348,31.35,-0.28999999999999915,10.0
12387,29.41,-0.870000000000001,10.0
